proxy_fusion_name	type	sample	FusionName	lex_ordered_fusion_name	sum_split_reads	discordant_mates
RT112|FGFR3--TACC3	shared	RT112	FGFR3--TACC3	RT112|FGFR3--TACC3	604	300
KIJK|NPM1--ALK	shared	KIJK	NPM1--ALK	KIJK|ALK--NPM1	594	297
SKBR3|TATDN1--GSDMB	shared	SKBR3	TATDN1--GSDMB	SKBR3|GSDMB--TATDN1	331	3
K562|BCR--ABL1	shared	K562	BCR--ABL1	K562|ABL1--BCR	234	99
HCC1395|CH507-528H12.1--PDIA5	shared	HCC1395	PDIA5--CH507-528H12.1	HCC1395|CH507-528H12.1--PDIA5	213	106
K562|BAG6--SLC44A4	shared	K562	BAG6--SLC44A4	K562|BAG6--SLC44A4	210	114
SKBR3|CYTH1--EIF3H	shared	SKBR3	CYTH1--EIF3H	SKBR3|CYTH1--EIF3H	206	0
HCC1187|CTNND1--SMTNL1	shared	HCC1187	CTNND1--SMTNL1	HCC1187|CTNND1--SMTNL1	204	88
HCC1187|KMT2E--LHFPL3	shared	HCC1187	KMT2E--LHFPL3	HCC1187|KMT2E--LHFPL3	169	99
HCC1187|BSDC1--MDGA1	unique	HCC1187	BSDC1--MDGA1	HCC1187|BSDC1--MDGA1	164	0
HCC1187|PUM1--TRERF1	shared	HCC1187	PUM1--TRERF1	HCC1187|PUM1--TRERF1	160	123
SKBR3|RARA--PKIA	shared	SKBR3	RARA--PKIA	SKBR3|PKIA--RARA	153	0
HCC1395|EIF3K--CYP39A1	shared	HCC1395	EIF3K--CYP39A1	HCC1395|CYP39A1--EIF3K	141	70
HCC1187|SEC22B--NOTCH2	shared	HCC1187	SEC22B--NOTCH2	HCC1187|NOTCH2--SEC22B	114	62
HCC1187|AGPAT5--MCPH1	shared	HCC1187	AGPAT5--MCPH1	HCC1187|AGPAT5--MCPH1	106	64
HCC1395|PLA2R1--RBMS1	shared	HCC1395	PLA2R1--RBMS1	HCC1395|PLA2R1--RBMS1	100	54
K562|NUP214--XKR3	shared	K562	NUP214--XKR3	K562|NUP214--XKR3	95	68
SKBR3|SUMF1--LRRFIP2	shared	SKBR3	SUMF1--LRRFIP2	SKBR3|LRRFIP2--SUMF1	94	42
DMS53|RP11-440D17.5--TMEM131	shared	DMS53	TMEM131--RP11-440D17.5	DMS53|RP11-440D17.5--TMEM131	86	25
KIJK|YTHDF2--TAF12	shared	KIJK	YTHDF2--TAF12	KIJK|TAF12--YTHDF2	82	53
VCAP|PIK3C2A--TEAD1	shared	VCAP	PIK3C2A--TEAD1	VCAP|PIK3C2A--TEAD1	75	0
SKBR3|TAF2--COLEC10	shared	SKBR3	TAF2--COLEC10	SKBR3|COLEC10--TAF2	61	24
DMS53|GALNT8--PRMT8	shared	DMS53	GALNT8--PRMT8	DMS53|GALNT8--PRMT8	61	19
HCC1187|PLEKHA6--ENAH	unique	HCC1187	PLEKHA6--ENAH	HCC1187|ENAH--PLEKHA6	59	26
HCC1187|RHOA--DAG1	shared	HCC1187	RHOA--DAG1	HCC1187|DAG1--RHOA	56	13
VCAP|HJURP--EIF4E2	shared	VCAP	HJURP--EIF4E2	VCAP|EIF4E2--HJURP	54	18
DMS53|R3HCC1L--PGAM1	shared	DMS53	R3HCC1L--PGAM1	DMS53|PGAM1--R3HCC1L	44	39
SKBR3|TRAM1--REXO1L1P	unique	SKBR3	TRAM1--REXO1L1P	SKBR3|REXO1L1P--TRAM1	42	1
DMS53|NLRP1--STAT5A	shared	DMS53	NLRP1--STAT5A	DMS53|NLRP1--STAT5A	42	0
VCAP|VWA2--PRKCH	shared	VCAP	VWA2--PRKCH	VCAP|PRKCH--VWA2	37	2
DMS53|KRT7--OR7E47P	shared	DMS53	KRT7--OR7E47P	DMS53|KRT7--OR7E47P	34	14
SKBR3|ANKHD1--PCDH1	shared	SKBR3	ANKHD1--PCDH1	SKBR3|ANKHD1--PCDH1	34	10
VCAP|RC3H2--RGS3	shared	VCAP	RC3H2--RGS3	VCAP|RC3H2--RGS3	32	16
VCAP|PDE4D--C5orf47	shared	VCAP	PDE4D--C5orf47	VCAP|C5orf47--PDE4D	32	14
DMS53|KIAA0232--CH507-528H12.1	shared	DMS53	KIAA0232--CH507-528H12.1	DMS53|CH507-528H12.1--KIAA0232	31	14
VCAP|USP10--ZDHHC7	shared	VCAP	USP10--ZDHHC7	VCAP|USP10--ZDHHC7	30	0
SKBR3|CPNE1--PREX1	unique	SKBR3	CPNE1--PREX1	SKBR3|CPNE1--PREX1	29	16
HCC1395|HELZ--ARHGAP12	shared	HCC1395	HELZ--ARHGAP12	HCC1395|ARHGAP12--HELZ	25	0
VCAP|ABCB9--ZDHHC7	shared	VCAP	ZDHHC7--ABCB9	VCAP|ABCB9--ZDHHC7	24	7
SKBR3|KLHDC2--SNTB1	shared	SKBR3	KLHDC2--SNTB1	SKBR3|KLHDC2--SNTB1	22	31
DMS53|USP43--CNTLN	shared	DMS53	USP43--CNTLN	DMS53|CNTLN--USP43	21	12
SKBR3|DHX35--ITCH	shared	SKBR3	DHX35--ITCH	SKBR3|DHX35--ITCH	21	12
HCC1395|UNC5C--RP11-681L8.1	shared	HCC1395	UNC5C--RP11-681L8.1	HCC1395|RP11-681L8.1--UNC5C	21	4
VCAP|INPP4A--HJURP	shared	VCAP	INPP4A--HJURP	VCAP|HJURP--INPP4A	18	3
VCAP|LMAN2--AP3S1	shared	VCAP	LMAN2--AP3S1	VCAP|AP3S1--LMAN2	17	5
VCAP|TMPRSS2--ERG	shared	VCAP	TMPRSS2--ERG	VCAP|ERG--TMPRSS2	17	0
KIJK|IGSF11--RP11-484M3.5	unique	KIJK	RP11-484M3.5--IGSF11	KIJK|IGSF11--RP11-484M3.5	17	0
HCC1187|PLXND1--TMCC1	shared	HCC1187	PLXND1--TMCC1	HCC1187|PLXND1--TMCC1	16	9
HCC1187|OFCC1--HIVEP1	unique	HCC1187	HIVEP1--OFCC1	HCC1187|HIVEP1--OFCC1	14	9
VCAP|HSF1--RERE	shared	VCAP	HSF1--RERE	VCAP|HSF1--RERE	13	1
K562|C16orf87--ORC6	shared	K562	C16orf87--ORC6	K562|C16orf87--ORC6	12	15
K562|RP11-307P5.1--SASH1	shared	K562	RP11-307P5.1--SASH1	K562|RP11-307P5.1--SASH1	12	6
HCC1395|ATAD1--PTEN	unique	HCC1395	ATAD1--PTEN	HCC1395|ATAD1--PTEN	12	6
SKBR3|TBC1D31--ZNF704	shared	SKBR3	TBC1D31--ZNF704	SKBR3|TBC1D31--ZNF704	11	6
DMS53|RRP12--R3HCC1L	shared	DMS53	RRP12--R3HCC1L	DMS53|R3HCC1L--RRP12	11	4
SKBR3|TOX2--STAU1	unique	SKBR3	STAU1--TOX2	SKBR3|STAU1--TOX2	9	12
SKBR3|TRIO--FBXL7	shared	SKBR3	TRIO--FBXL7	SKBR3|FBXL7--TRIO	9	7
VCAP|RANBP17--DOCK2	shared	VCAP	RANBP17--DOCK2	VCAP|DOCK2--RANBP17	9	5
VCAP|PAPSS1--LEF1-AS1	unique	VCAP	PAPSS1--LEF1-AS1	VCAP|LEF1-AS1--PAPSS1	9	2
HCC1187|NPTN--CD276	unique	HCC1187	NPTN--CD276	HCC1187|CD276--NPTN	9	0
HCC1187|RAB28--LINC01182	unique	HCC1187	RAB28--LINC01182	HCC1187|LINC01182--RAB28	8	11
VCAP|ZDHHC7--UNK	unique	VCAP	UNK--ZDHHC7	VCAP|UNK--ZDHHC7	8	8
HCC1395|MFSD3--MROH1	shared	HCC1395	MFSD3--MROH1	HCC1395|MFSD3--MROH1	8	5
HCC1187|AKAP13--PDE8A	shared	HCC1187	AKAP13--PDE8A	HCC1187|AKAP13--PDE8A	8	0
HCC1395|MDH1--LINC01278	shared	HCC1395	MDH1--LINC01278	HCC1395|LINC01278--MDH1	7	7
DMS53|PCDH15--FAM24B	shared	DMS53	FAM24B--PCDH15	DMS53|FAM24B--PCDH15	7	6
DMS53|ANKRD18B--CNTNAP3B	unique	DMS53	ANKRD18B--CNTNAP3B	DMS53|ANKRD18B--CNTNAP3B	7	6
HCC1395|RNGTT--RPF1	shared	HCC1395	RNGTT--RPF1	HCC1395|RNGTT--RPF1	7	3
VCAP|ANO10--SLMAP	shared	VCAP	SLMAP--ANO10	VCAP|ANO10--SLMAP	7	2
HCC1187|LINC01535--EXOSC10	shared	HCC1187	LINC01535--EXOSC10	HCC1187|EXOSC10--LINC01535	7	2
VCAP|PDE4D--FAM172A	shared	VCAP	PDE4D--FAM172A	VCAP|FAM172A--PDE4D	7	1
K562|IMMP2L--DOCK4	shared	K562	IMMP2L--DOCK4	K562|DOCK4--IMMP2L	6	5
VCAP|CNOT6--S100Z	shared	VCAP	CNOT6--S100Z	VCAP|CNOT6--S100Z	6	4
VCAP|PSMG1--UNK	shared	VCAP	PSMG1--UNK	VCAP|PSMG1--UNK	6	4
VCAP|NDUFAF2--MAST4	shared	VCAP	NDUFAF2--MAST4	VCAP|MAST4--NDUFAF2	6	2
DMS53|POC1B--MGAT4C	shared	DMS53	POC1B--MGAT4C	DMS53|MGAT4C--POC1B	6	2
SKBR3|BLOC1S6--AKAP13	shared	SKBR3	BLOC1S6--AKAP13	SKBR3|AKAP13--BLOC1S6	6	2
SKBR3|MB21D2--RTP2	shared	SKBR3	MB21D2--RTP2	SKBR3|MB21D2--RTP2	6	1
DMS53|ABR--CDK14	shared	DMS53	ABR--CDK14	DMS53|ABR--CDK14	5	4
VCAP|RP5-1021I20.4--RNF111	unique	VCAP	RP5-1021I20.4--RNF111	VCAP|RNF111--RP5-1021I20.4	5	3
SKBR3|EIF2B5--RP11-132N15.1	shared	SKBR3	EIF2B5--RP11-132N15.1	SKBR3|EIF2B5--RP11-132N15.1	5	1
HCC1395|TBC1D16--AC012354.6	shared	HCC1395	TBC1D16--AC012354.6	HCC1395|AC012354.6--TBC1D16	5	1
K562|GPC6--FAM155A	unique	K562	FAM155A--GPC6	K562|FAM155A--GPC6	5	1
SKBR3|KLHDC2--CEP112	unique	SKBR3	KLHDC2--CEP112	SKBR3|CEP112--KLHDC2	4	4
VCAP|CDKAL1--LINC01505	unique	VCAP	CDKAL1--LINC01505	VCAP|CDKAL1--LINC01505	4	3
HCC1187|GCNT2--OFCC1	shared	HCC1187	GCNT2--OFCC1	HCC1187|GCNT2--OFCC1	4	2
SKBR3|PSMD11--NF1	shared	SKBR3	PSMD11--NF1	SKBR3|NF1--PSMD11	4	2
DMS53|PEX5L--STRADB	shared	DMS53	PEX5L--STRADB	DMS53|PEX5L--STRADB	4	1
VCAP|C16orf70--ENKD1	shared	VCAP	C16orf70--ENKD1	VCAP|C16orf70--ENKD1	4	1
HCC1395|KPNA1--EEFSEC	shared	HCC1395	KPNA1--EEFSEC	HCC1395|EEFSEC--KPNA1	4	1
SKBR3|MECOM--LMCD1-AS1	shared	SKBR3	MECOM--LMCD1-AS1	SKBR3|LMCD1-AS1--MECOM	4	1
HCC1395|RAB7A--LRCH3	shared	HCC1395	RAB7A--LRCH3	HCC1395|LRCH3--RAB7A	3	11
HCC1395|FNDC3A--POM121C	shared	HCC1395	POM121C--FNDC3A	HCC1395|FNDC3A--POM121C	3	11
HCC1395|UNC5C--STPG2	shared	HCC1395	UNC5C--STPG2	HCC1395|STPG2--UNC5C	3	6
SKBR3|PVT1--LINC00536	shared	SKBR3	PVT1--LINC00536	SKBR3|LINC00536--PVT1	3	4
HCC1395|MLLT10--AMD1P1	unique	HCC1395	MLLT10--AMD1P1	HCC1395|AMD1P1--MLLT10	3	2
K562|CEP70--FAIM	shared	K562	CEP70--FAIM	K562|CEP70--FAIM	3	1
HCC1187|B3GNTL1P2--CD2AP	shared	HCC1187	CD2AP--B3GNTL1P2	HCC1187|B3GNTL1P2--CD2AP	3	1
HCC1187|APOD--RP11-447L10.1	unique	HCC1187	RP11-447L10.1--APOD	HCC1187|APOD--RP11-447L10.1	3	1
RT112|KLHL18--RP11-314M24.1	shared	RT112	KLHL18--RP11-314M24.1	RT112|KLHL18--RP11-314M24.1	3	0
HCC1395|PRTG--MALT1	shared	HCC1395	MALT1--PRTG	HCC1395|MALT1--PRTG	2	19
SKBR3|SLC45A4--LINC00824	shared	SKBR3	SLC45A4--LINC00824	SKBR3|LINC00824--SLC45A4	2	2
RT112|TRAF2--EPB41L4B	shared	RT112	TRAF2--EPB41L4B	RT112|EPB41L4B--TRAF2	2	2
VCAP|CNNM4--PARD3B	shared	VCAP	CNNM4--PARD3B	VCAP|CNNM4--PARD3B	2	1
VCAP|PPIP5K2--CTC-340A15.2	shared	VCAP	PPIP5K2--CTC-340A15.2	VCAP|CTC-340A15.2--PPIP5K2	2	1
SKBR3|MTSS1--RP11-941H19.3	shared	SKBR3	MTSS1--RP11-941H19.3	SKBR3|MTSS1--RP11-941H19.3	2	0
HCC1395|PGF--GRIN2A	shared	HCC1395	GRIN2A--PGF	HCC1395|GRIN2A--PGF	1	3
DMS53|AGAP1--IQCA1	unique	DMS53	AGAP1--IQCA1	DMS53|AGAP1--IQCA1	1	3
HCC1395|HELZ--HMGB1P7	shared	HCC1395	HELZ--HMGB1P7	HCC1395|HELZ--HMGB1P7	1	2
HCC1395|ASTN1--BRINP2	unique	HCC1395	BRINP2--ASTN1	HCC1395|ASTN1--BRINP2	1	2
KIJK|SLIT1--FBXW4	unique	KIJK	FBXW4--SLIT1	KIJK|FBXW4--SLIT1	1	1
